Index,Medium,Count
312,"Chromogenic print, printed 1994",1
313,Chromogenic color prints with sand-blasted text on glass,1
314,Album with photogravures and lithographs (?),1
315,Letterpress half-tone (two-color),1
316,"Gelatin silver print, printed 1933-46",1
317,"Platinum print, printed c. 1979",1
318,Eleven gelatin silver prints,1
319,"Gelatin silver print, printed c. 1969 by James Dow",1
320,Albumen silver prints from paper negatives (two-part panorama),1
321,Three salted paper prints,1
322,Enlargement from a 9 x 12 con. negative,1
323,Book containing gelatin silver prints with applied color,1
324,Book containing gelatin silver prints,1
325,Album of 40 woodburytypes,1
326,"Cut and pasted printed papers, airbrushed gouache, ink, and pencil on board",1
327,"Photograph (""Improved"")",1
328,Albumanized salted paper print from a paper negative,1
329,Palladium and cyanotype print,1
330,Multiple gum print,1
331,"Gelatin silver print, printed 1943",1
332,Gelatin silver print with applied acrylic paint,1
333,Gelatin silver print (chlorobromide) from a direct paper negative,1
334,"Albumen silver prints in two volumes, printed 1865",1
335,Albumen silver prints (stereograph),1
336,"Gelatin silver print, printed 1948",1
337,"Dye transfer print, printed 1992",1
338,"Salted paper print by Chicago Albumen Works from a wet-collodion glass negative, printed 1990",1
339,"Developing-out-paper print (gold-toned), printed 1981 by Chicago Albumen Works",1
340,Photogravures,1
341,Sixteen albumen silver prints and one photographic reproduction of a painting or one painted photograph,1
342,Albumen silver prints from wet-collodion glass negatives,1
343,Gelatin silver print (with hand-applied graphite),1
344,"Dye transfer print, printed 1988",1
345,"Chromogenic print, printed 1987",1
346,"Gelatin silver print (hand-colored negative print), printed 1935",1
347,Offset print,1
348,Special edition book containing thirty gelatin silver prints,1
349,"Gelatin silver print, printed 1933",1
350,Hand-applied emulsion photograph,1
351,"Palladium print, printed 1974",1
352,"Gelatin silver printing-out-paper print, printed by Lee Friedlander 1966–69",1
353,"Chromogenic print, printed 1958",1
354,Platinum print (brush developed),1
355,"Gelatin silver print, printed c. 1950",1
356,Gelatin silver print from an instant negative (Polaroid),1
357,Gelatin silver print (chloride),1
358,Gelatin silver print from an instant camera (Polaroid),1
359,"Gelatin silver print, printed 1995",1
360,Polaroid negative,1
361,Collage of color instant prints (Polaroid SX70) and paper transfer of Polaroid emulsion,1
362,Gelatin silver print (brushed-on developer),1
363,"Collage of halftone prints, string, waxed paper and graphite",1
364,Gum platinum print (toned),1
365,"Sixty gelatin silver prints, published 1982",1
366,"Albumen silver prints except for .3, .29 and .110",1
